Time,X,Y,Z
1.73444e+09,-7.80613,-4.02072,-0.628946
1.73444e+09,-7.78237,-4.02103,-0.621206
1.73444e+09,-7.75862,-4.02134,-0.613433
1.73444e+09,-7.73487,-4.02166,-0.605648
1.73444e+09,-7.71112,-4.02197,-0.597871
1.73444e+09,-7.68737,-4.02229,-0.590092
1.73444e+09,-7.66363,-4.02261,-0.582288
1.73444e+09,-7.6399,-4.02293,-0.574462
1.73444e+09,-7.61616,-4.02325,-0.566645
1.73444e+09,-7.59242,-4.02358,-0.558827
1.73444e+09,-7.56869,-4.0239,-0.550996
1.73444e+09,-7.54497,-4.02423,-0.54313
1.73444e+09,-7.52125,-4.02456,-0.535277
1.73444e+09,-7.49752,-4.02489,-0.527426
1.73444e+09,-7.47379,-4.02521,-0.519568
1.73444e+09,-7.45009,-4.02555,-0.511671
1.73444e+09,-7.42638,-4.02588,-0.503786
1.73444e+09,-7.40266,-4.02621,-0.495902
1.73444e+09,-7.37894,-4.02655,-0.488015
1.73444e+09,-7.35524,-4.02688,-0.480097
1.73444e+09,-7.33154,-4.02722,-0.472177
1.73444e+09,-7.30784,-4.02756,-0.464264
1.73444e+09,-7.28413,-4.0279,-0.45635
1.73444e+09,-7.26043,-4.02824,-0.448414
1.73444e+09,-7.23675,-4.02858,-0.440463
1.73444e+09,-7.21304,-4.02892,-0.432524
1.73444e+09,-7.18934,-4.02926,-0.424586
1.73444e+09,-7.16565,-4.02961,-0.416639
1.73444e+09,-7.14197,-4.02996,-0.408659
1.73444e+09,-7.11828,-4.0303,-0.4007
1.73444e+09,-7.09459,-4.03065,-0.39274
1.73444e+09,-7.0709,-4.03099,-0.384775
1.73444e+09,-7.04723,-4.03134,-0.376781
1.73444e+09,-7.02355,-4.03169,-0.368801
1.73444e+09,-6.99986,-4.03204,-0.360824
1.73444e+09,-6.97617,-4.03238,-0.352845
1.73444e+09,-6.95251,-4.03274,-0.344838
1.73444e+09,-6.92883,-4.03309,-0.336842
1.73444e+09,-6.90515,-4.03344,-0.328847
1.73444e+09,-6.88147,-4.03379,-0.320854
1.73444e+09,-6.8578,-4.03414,-0.312844
1.73444e+09,-6.83414,-4.0345,-0.304828
1.73444e+09,-6.81046,-4.03485,-0.296825
1.73444e+09,-6.78678,-4.0352,-0.288822
1.73444e+09,-6.76311,-4.03555,-0.280812
1.73444e+09,-6.73945,-4.03591,-0.272785
1.73444e+09,-6.71577,-4.03627,-0.264774
1.73444e+09,-6.69209,-4.03662,-0.256763
1.73444e+09,-6.66842,-4.03697,-0.248749
1.73444e+09,-6.64476,-4.03733,-0.240718
1.73444e+09,-6.62109,-4.03768,-0.232701
1.73444e+09,-6.59741,-4.03804,-0.224686
1.73444e+09,-6.57374,-4.03839,-0.216672
1.73444e+09,-6.55008,-4.03875,-0.208644
1.73444e+09,-6.52642,-4.0391,-0.200625
1.73444e+09,-6.50274,-4.03945,-0.192612
1.73444e+09,-6.47906,-4.03981,-0.184598
1.73444e+09,-6.4554,-4.04016,-0.176576
1.73444e+09,-6.43174,-4.04052,-0.16856
1.73444e+09,-6.40806,-4.04087,-0.160549
1.73444e+09,-6.38438,-4.04122,-0.152539
1.73444e+09,-6.36071,-4.04157,-0.144526
1.73444e+09,-6.33705,-4.04193,-0.136511
1.73444e+09,-6.31337,-4.04228,-0.12851
1.73444e+09,-6.28968,-4.04263,-0.120509
1.73444e+09,-6.266,-4.04297,-0.112508
1.73444e+09,-6.24234,-4.04333,-0.104505
1.73444e+09,-6.21866,-4.04368,-0.0965154
1.73444e+09,-6.19497,-4.04402,-0.0885275
1.73444e+09,-6.17129,-4.04437,-0.0805399
1.73444e+09,-6.14761,-4.04472,-0.0725564
1.73444e+09,-6.12393,-4.04506,-0.0645789
1.73444e+09,-6.10024,-4.04541,-0.0566069
1.73444e+09,-6.07655,-4.04575,-0.0486352
1.73444e+09,-6.05287,-4.04609,-0.0406647
1.73444e+09,-6.02918,-4.04643,-0.032709
1.73444e+09,-6.00548,-4.04677,-0.0247572
1.73444e+09,-5.98178,-4.04711,-0.0168058
1.73444e+09,-5.95809,-4.04745,-0.00885535
1.73444e+09,-5.9344,-4.04779,-0.000922961
1.73444e+09,-5.91069,-4.04812,0.00700284
1.73444e+09,-5.88698,-4.04846,0.0149283
1.73444e+09,-5.86328,-4.04879,0.0228529
1.73444e+09,-5.83958,-4.04912,0.0307613
1.73444e+09,-5.81586,-4.04945,0.0386571
1.73444e+09,-5.79215,-4.04978,0.0465533
1.73444e+09,-5.76843,-4.0501,0.0544493
1.73444e+09,-5.74472,-4.05043,0.0623266
1.73444e+09,-5.721,-4.05075,0.0701936
1.73444e+09,-5.69727,-4.05107,0.0780583
1.73444e+09,-5.67354,-4.05139,0.0859229
1.73444e+09,-5.64982,-4.05171,0.0937729
1.73444e+09,-5.62609,-4.05202,0.101598
1.73444e+09,-5.60235,-4.05233,0.109425
1.73444e+09,-5.57861,-4.05264,0.117251
1.73444e+09,-5.55487,-4.05295,0.125065
1.73444e+09,-5.53113,-4.05325,0.13285
1.73444e+09,-5.50738,-4.05355,0.140634
1.73444e+09,-5.48362,-4.05386,0.148418
1.73444e+09,-5.45987,-4.05415,0.156194
1.73444e+09,-5.43612,-4.05445,0.163933
1.73444e+09,-5.41235,-4.05474,0.171672
1.73444e+09,-5.38858,-4.05503,0.17941
1.73444e+09,-5.36482,-4.05532,0.187146
1.73444e+09,-5.34106,-4.0556,0.194839
1.73444e+09,-5.31727,-4.05588,0.202528
1.73444e+09,-5.29349,-4.05616,0.210216
1.73444e+09,-5.26971,-4.05644,0.217904
1.73444e+09,-5.24593,-4.05671,0.22555
1.73444e+09,-5.22214,-4.05697,0.233182
1.73444e+09,-5.19833,-4.05724,0.240813
1.73444e+09,-5.17453,-4.0575,0.248443
1.73444e+09,-5.15073,-4.05776,0.256045
1.73444e+09,-5.12692,-4.05801,0.263615
1.73444e+09,-5.1031,-4.05826,0.271187
1.73444e+09,-5.07928,-4.05851,0.278759
1.73444e+09,-5.05547,-4.05876,0.286309
1.73444e+09,-5.03164,-4.059,0.293819
1.73444e+09,-5.0078,-4.05923,0.301328
1.73444e+09,-4.98396,-4.05946,0.308838
1.73444e+09,-4.96012,-4.0597,0.316341
1.73444e+09,-4.93628,-4.05992,0.323779
1.73444e+09,-4.91242,-4.06013,0.331218
1.73444e+09,-4.88855,-4.06035,0.338658
1.73444e+09,-4.86469,-4.06056,0.346096
1.73444e+09,-4.84083,-4.06077,0.353469
1.73444e+09,-4.81695,-4.06096,0.360836
1.73444e+09,-4.79306,-4.06116,0.368203
1.73444e+09,-4.76918,-4.06135,0.37557
1.73444e+09,-4.74529,-4.06155,0.382883
1.73444e+09,-4.7214,-4.06172,0.390169
1.73444e+09,-4.69749,-4.0619,0.39746
1.73444e+09,-4.67358,-4.06207,0.404753
1.73444e+09,-4.64967,-4.06224,0.412005
1.73444e+09,-4.62575,-4.0624,0.419207
1.73444e+09,-4.60182,-4.06256,0.426415
1.73444e+09,-4.57788,-4.06271,0.433625
1.73444e+09,-4.55395,-4.06287,0.440804
1.73444e+09,-4.53,-4.06301,0.447924
1.73444e+09,-4.50604,-4.06314,0.455046
1.73444e+09,-4.48208,-4.06327,0.462169
1.73444e+09,-4.45812,-4.06341,0.469278
1.73444e+09,-4.43415,-4.06353,0.47631
1.73444e+09,-4.41016,-4.06364,0.483338
1.73444e+09,-4.38617,-4.06375,0.490371
1.73444e+09,-4.36218,-4.06387,0.497399
1.73444e+09,-4.33819,-4.06397,0.504344
1.73444e+09,-4.31416,-4.06406,0.511274
1.73444e+09,-4.29014,-4.06415,0.51821
1.73444e+09,-4.26613,-4.06424,0.525146
1.73444e+09,-4.2421,-4.06433,0.532004
1.73444e+09,-4.21805,-4.0644,0.538831
1.73444e+09,-4.19401,-4.06446,0.545668
1.73444e+09,-4.16996,-4.06453,0.552505
1.73444e+09,-4.1459,-4.06459,0.559285
1.73444e+09,-4.12184,-4.06464,0.566001
1.73444e+09,-4.09776,-4.06468,0.572732
1.73444e+09,-4.07369,-4.06472,0.579464
1.73444e+09,-4.0496,-4.06476,0.586145
1.73444e+09,-4.02551,-4.06478,0.59276
1.73444e+09,-4.0014,-4.06479,0.599381
1.73444e+09,-3.97729,-4.0648,0.606003
1.73444e+09,-3.95318,-4.06482,0.612585
1.73444e+09,-3.92905,-4.06481,0.619092
1.73444e+09,-3.90491,-4.0648,0.625601
1.73444e+09,-3.88078,-4.06478,0.63211
1.73444e+09,-3.85664,-4.06477,0.638591
1.73444e+09,-3.83248,-4.06473,0.644994
1.73444e+09,-3.80831,-4.06468,0.651379
1.73444e+09,-3.78414,-4.06463,0.657769
1.73444e+09,-3.75997,-4.06459,0.664146
1.73444e+09,-3.73578,-4.06453,0.670428
1.73444e+09,-3.71158,-4.06445,0.676689
1.73444e+09,-3.68738,-4.06437,0.682956
1.73444e+09,-3.66318,-4.06429,0.689219
1.73444e+09,-3.63896,-4.06419,0.695391
1.73444e+09,-3.61473,-4.06408,0.701521
1.73444e+09,-3.59049,-4.06396,0.707662
1.73444e+09,-3.56626,-4.06385,0.713802
1.73444e+09,-3.54201,-4.06373,0.719857
1.73444e+09,-3.51775,-4.06358,0.725858
1.73444e+09,-3.49348,-4.06343,0.731866
1.73444e+09,-3.46922,-4.06328,0.737874
1.73444e+09,-3.44494,-4.06312,0.743811
1.73444e+09,-3.42064,-4.06294,0.749678
1.73444e+09,-3.39634,-4.06275,0.755551
1.73444e+09,-3.37204,-4.06256,0.761424
1.73444e+09,-3.34773,-4.06237,0.767232
1.73444e+09,-3.3234,-4.06215,0.772972
1.73444e+09,-3.29907,-4.06192,0.778705
1.73444e+09,-3.27474,-4.0617,0.784438
1.73444e+09,-3.25039,-4.06146,0.790117
1.73444e+09,-3.22604,-4.06121,0.795718
1.73444e+09,-3.20167,-4.06094,0.801307
1.73444e+09,-3.17731,-4.06067,0.806896
1.73444e+09,-3.15293,-4.0604,0.812441
1.73444e+09,-3.12855,-4.0601,0.817904
1.73444e+09,-3.10415,-4.05979,0.823344
1.73444e+09,-3.07975,-4.05948,0.828784
1.73444e+09,-3.05534,-4.05916,0.834188
1.73444e+09,-3.03092,-4.05882,0.839509
1.73444e+09,-3.00649,-4.05847,0.844798
1.73444e+09,-2.98206,-4.05811,0.850086
1.73444e+09,-2.95763,-4.05776,0.855346
1.73444e+09,-2.93318,-4.05738,0.860521
1.73444e+09,-2.90871,-4.05698,0.865653
1.73444e+09,-2.88425,-4.05658,0.870785
1.73444e+09,-2.85978,-4.05618,0.875894
1.73444e+09,-2.8353,-4.05576,0.880919
1.73444e+09,-2.81081,-4.05531,0.88589
1.73444e+09,-2.78631,-4.05487,0.89086
1.73444e+09,-2.76181,-4.05442,0.895817
1.73444e+09,-2.7373,-4.05395,0.900686
1.73444e+09,-2.71277,-4.05346,0.905492
1.73444e+09,-2.68824,-4.05297,0.910299
1.73444e+09,-2.66372,-4.05248,0.915102
1.73444e+09,-2.63918,-4.05197,0.919811
1.73444e+09,-2.61462,-4.05142,0.924449
1.73444e+09,-2.59006,-4.05088,0.929086
1.73444e+09,-2.5655,-4.05034,0.933723
1.73444e+09,-2.54093,-4.04978,0.938272
1.73444e+09,-2.51634,-4.04918,0.942739
1.73444e+09,-2.49175,-4.04859,0.947202
1.73444e+09,-2.46716,-4.048,0.951664
1.73444e+09,-2.44256,-4.04738,0.956054
1.73444e+09,-2.41795,-4.04674,0.960347
1.73444e+09,-2.39333,-4.0461,0.964636
1.73444e+09,-2.36871,-4.04545,0.968926
1.73444e+09,-2.34408,-4.04479,0.973144
1.73444e+09,-2.31943,-4.04409,0.977267
1.73444e+09,-2.29478,-4.04339,0.981376
1.73444e+09,-2.27014,-4.04269,0.985486
1.73444e+09,-2.24548,-4.04197,0.989532
1.73444e+09,-2.22081,-4.04122,0.993479
1.73444e+09,-2.19613,-4.04046,0.997406
1.73444e+09,-2.17145,-4.03971,1.00133
1.73444e+09,-2.14677,-4.03894,1.0052
1.73444e+09,-2.12207,-4.03814,1.00897
1.73444e+09,-2.09737,-4.03732,1.01271
1.73444e+09,-2.07267,-4.03651,1.01646
1.73444e+09,-2.04796,-4.03569,1.02014
1.73444e+09,-2.02323,-4.03483,1.02373
1.73444e+09,-1.9985,-4.03396,1.02728
1.73444e+09,-1.97377,-4.0331,1.03084
1.73444e+09,-1.94904,-4.03221,1.03434
1.73444e+09,-1.92429,-4.0313,1.03774
1.73444e+09,-1.89954,-4.03037,1.04111
1.73444e+09,-1.87478,-4.02945,1.04447
1.73444e+09,-1.85003,-4.02851,1.04779
1.73444e+09,-1.82526,-4.02754,1.051
1.73444e+09,-1.80048,-4.02655,1.05417
1.73444e+09,-1.7757,-4.02557,1.05734
1.73444e+09,-1.75093,-4.02457,1.06047
1.73444e+09,-1.72613,-4.02354,1.06349
1.73444e+09,-1.70133,-4.0225,1.06646
1.73444e+09,-1.67653,-4.02146,1.06943
1.73444e+09,-1.65174,-4.0204,1.07237
1.73444e+09,-1.62692,-4.01931,1.07519
1.73444e+09,-1.6021,-4.01821,1.07796
1.73444e+09,-1.57728,-4.01711,1.08074
1.73444e+09,-1.55247,-4.01599,1.08348
1.73444e+09,-1.52763,-4.01484,1.08611
1.73444e+09,-1.50279,-4.01367,1.08868
1.73444e+09,-1.47795,-4.01251,1.09126
1.73444e+09,-1.45312,-4.01133,1.0938
1.73444e+09,-1.42826,-4.01013,1.09622
1.73444e+09,-1.40341,-4.0089,1.09859
1.73444e+09,-1.37855,-4.00767,1.10097
1.73444e+09,-1.3537,-4.00643,1.10331
1.73444e+09,-1.32883,-4.00516,1.10553
1.73444e+09,-1.30396,-4.00387,1.10769
1.73444e+09,-1.27909,-4.00258,1.10986
1.73444e+09,-1.25422,-4.00128,1.112
1.73444e+09,-1.22934,-3.99994,1.11401
1.73444e+09,-1.20446,-3.99859,1.11597
1.73444e+09,-1.17957,-3.99723,1.11794
1.73444e+09,-1.15469,-3.99587,1.11987
